Feature value 1, Feature value 2, Jaccard coefficient for reference set, Jaccard coefficient for MMP-targeting set
Germ_LV_IGKV3-7*01,Germ_HV_IGHV3-66*03,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV4-31*05,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV4-59*07,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1S7*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV6-6*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV2S33*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HJ_IGHJ4*01,0.018867924528301886,0.0
Germ_LV_IGKV3-7*01,Germ_HJ_IGHJ1*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HJ_IGHJ6*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HJ_IGHJ3*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HJ_IGHJ5*01,0.0,0.0
